model,keywords
nmf,"['miss', 'class', 'room', 'communication', 'experience', 'warn', 'punctual', 'inside', 'seen', 'of_that', 'hardly', 'present', 'questions', 'personal', 'commitment']"
bertopic,"['excellent', 'always', 'great', 'well', 'good', 'didactics', 'great', 'good', 'doubts', 'subject', 'explains', 'content', 'about', 'super', 'objective']"
bertopic,"['content', 'exam', 'room', 'evaluation', 'beyond', 'exams', 'passed', 'teaching', 'lack', 'little', 'just', 'works', 'didactics', 'time', 'times']"
bertopic,"['schedule', 'times', 'reasons', 'some', 'time', 'many', 'too_much', 'was_missing', 'fast', 'bus', 'night', 'trabalho', 'many', 'punctual', 'are']"
bertopic,"['domain', 'subject', 'content', 'enough', 'dia', 'about', 'well', 'passes', 'knowledge', 'taught', 'area', 'subjects', 'new', 'contextualized', 'otimas']"
bertopic,"['didactics', 'little', 'excellent', 'intransigent', 'pretends', 'didactic', 'disorganized', 'terrible', 'points', 'extremely', 'knows', 'enough', 'unreal', 'right', 'explosive']"
bertopic,"['disciplines', 'some', 'good', 'difficulties', 'despite', 'strike', 'fruitful', 'honestly', 'great', 'subjects', 'pass_on', 'after', 'time', 'general', 'unfortunately']"
bertopic,"['evaluation', 'evaluations', 'could', 'correction', 'clear', 'corrected', 'included', 'discursive', 'method', 'confusing', 'just', 'left', 'in', 'exams', 'forms']"
bertopic,"['always', 'attentive', 'willing', 'requests', 'humble', 'hardworking', 'congratulations', 'helpful', 'help', 'well', 'understood', 'engaged', 'disciplined', 'highly', 'arbitrary']"
bertopic,"['nothing', 'joined', 'appears', 'declare', 'arrives', 'nor', 'occurred', 'early', 'error', 'social', 'name', 'moment', 'evaluate', 'did', 'grade']"
bertopic,"['professional', 'ok', 'impeccable', 'qualified', 'fun', 'xxxxxxxxxxxx', 'regular', 'wonderful', 'wonderful', 'present', 'objective', 'name', 'sir', 'good', 'horrible']"
bertopic,"['comments', 'offensive', 'comment', 'read', 'comment', 'will_be', 'positive', 'negative', 'unnecessary', 'never', 'other', 'so_much', 'nothing', 'hour', '']"
bertopic,"['improve', 'needs', 'leave', 'didactics', 'experience', 'interest', 'love', 'attract', 'win', 'branch', 'way', 'interesting', 'evolve', 'made_effort', 'content_focused']"
bertopic,"['sex', 'comments', 'sexual', 'ex', 'sexual', 'unnecessary', 'approached', 'makes', 'about', 'abuse', 'about', 'certain', 'approach', 'demanding', 'individual']"
bertopic,"['slides', 'portuguese', 'complete', 'tasks', 'domain', 'explained', 'influenced', 'portugol', 'transport', 'portuguese', 'send', 'we_would_spend', 'delivered', 'correct', 'asked']"
